utterance_id,movie_title,language,sex,age,race,covered_face,multiple_faces,aggregated_emotions,transcript,movie_type,duration,split
024mu3zivb_0,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,anger,Why did we not hear about the wall then,debate,00:00:02.00,train
024mu3zivb_1,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,anger,Why now are we torturing the american people now,debate,00:00:03.00,train
024mu3zivb_10,116th United States Congress House Floor - 2019-01-23,EN,male,adult,hispanic,no,no,anger,Any president it is unamerican to take persons hostage within this country,debate,00:00:08.00,valid
024mu3zivb_11,116th United States Congress House Floor - 2019-01-23,EN,male,adult,hispanic,no,no,anger,You're a modern day pharaoh,debate,00:00:03.00,train
024mu3zivb_16,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,neutral,"The bill supports programs to counter, transnational, criminal organizations and the flow of illegal drugs.",debate,00:00:09.00,valid
024mu3zivb_17,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,anger,"People who work for this government, people who help millions of people every day",debate,00:00:05.36,train
024mu3zivb_18,116th United States Congress House Floor - 2019-01-23,EN,male,adult,black,no,no,neutral,Pursuant to clause nine of rule twenty this fifteen minute vote on the motion to recommit will be followed by a five minute vote on passage of the bill,debate,00:00:10.00,train
024mu3zivb_19,116th United States Congress House Floor - 2019-01-23,EN,female,adult,black,no,no,anger,As a member of the homeland security committee i have voted time after time as a democrat for border secu--,debate,00:00:05.32,train
024mu3zivb_2,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,anger,But now it's okay for the president to torture the american people,debate,00:00:03.16,train
024mu3zivb_20,116th United States Congress House Floor - 2019-01-23,EN,female,elderly,white,no,no,neutral,"In the mid-1980s, dr. miller broadened the store's horizons.",debate,00:00:06.00,train
024mu3zivb_3,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,anger,Because right now the wall is absolutely essential.,debate,00:00:02.40,test
024mu3zivb_4,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,neutral,Nineteen eighty eight he was stationed in fort bragg north carolina where he successfully passed rigorous trainings and evaluation to become a member of the united states armed forces,debate,00:00:10.52,train
024mu3zivb_5,116th United States Congress House Floor - 2019-01-23,EN,male,adult,white,no,no,anger,They don't care about republican and democratic priorities they care about their family,debate,00:00:04.48,valid
024mu3zivb_6,116th United States Congress House Floor - 2019-01-23,EN,female,adult,white,no,no,neutral,We've been doing everything in our power to ensure our family would be able to purchase a home this summer,debate,00:00:04.84,train
024mu3zivb_7,116th United States Congress House Floor - 2019-01-23,EN,male,adult,hispanic,no,no,anger,We will not negotiate with you,debate,00:00:04.00,valid
024mu3zivb_8,116th United States Congress House Floor - 2019-01-23,EN,male,adult,hispanic,no,no,anger,Grab an american off of the streets in some distant place,debate,00:00:05.00,train
024mu3zivb_9,116th United States Congress House Floor - 2019-01-23,EN,male,adult,hispanic,no,no,anger,We don't negotiate with you,debate,00:00:02.00,valid
03hz8nrrro_10,How to explain Occupy Wall Street to a six-year-old,EN,male,adult,white,no,no,neutral,I think people are coming together and deciding they actually wann be nice to each other,interview,00:00:05.00,train
03hz8nrrro_12,How to explain Occupy Wall Street to a six-year-old,EN,female,adult,black,no,no,happiness,"But i like to say that strangers are people that you just haven't met yet, you know.",interview,00:00:04.00,test
03hz8nrrro_13,How to explain Occupy Wall Street to a six-year-old,EN,male,adult,white,no,no,neutral,The police are very friendly,interview,00:00:01.66,train
03hz8nrrro_14,How to explain Occupy Wall Street to a six-year-old,EN,female,adult,black,no,no,happiness,And make it feel of each other has energy back and forth to help each other be better people so yeah,interview,00:00:06.00,valid
06d3dvjzoh_1,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,happiness,Probably the best advice i could give,interview,00:00:02.25,test
06d3dvjzoh_11,Wikipedia in Education (12 of 12) Success and learning from failure,EN,male,adult,white,no,no,neutral,It's a matter of trust,interview,00:00:01.33,valid
06d3dvjzoh_12,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,asian,no,no,neutral,We hired too few women participating,interview,00:00:03.45,train
06d3dvjzoh_13,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,happiness,If you're not perfect it's okay,interview,00:00:03.00,train
06d3dvjzoh_2,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,hispanic,no,no,neutral,Country because we are also developing articles about mexican popular culture and things that people of course should know about the country.,interview,00:00:10.79,test
06d3dvjzoh_3,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,hispanic,no,no,happiness,After that it was like a lot easier,interview,00:00:03.58,train
06d3dvjzoh_4,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,neutral,And soo after the establishment of the organization i begin coordinating the program our first,interview,00:00:06.00,train
06d3dvjzoh_5,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,neutral,In this way is pretty now education program not only in the capital in yerevan but also in different regions of armenia,interview,00:00:08.20,train
06d3dvjzoh_6,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,neutral,Estonians who collaborate with their ministry of education so,interview,00:00:06.00,test
06d3dvjzoh_7,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,neutral,And that's what we also want to do in ukraine,interview,00:00:04.00,train
06d3dvjzoh_8,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,neutral,To convince all the high levels that wikipedia belongs in education,interview,00:00:07.45,train
06d3dvjzoh_9,Wikipedia in Education (12 of 12) Success and learning from failure,EN,female,adult,white,no,no,happiness,We did some kind of small pilot which led the way to eventually signing an agreement with the ministry of education,interview,00:00:08.83,train
07vn6gbo2y_0,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,Find this morning jesus sets in motion the future great tribulation by opening the first six seals of the scroll,speech,00:00:08.00,train
07vn6gbo2y_1,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness,"The title of our message: i'm at the scroll, this is it. father thank you so much for",speech,00:00:06.00,test
07vn6gbo2y_10,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,anger,"Run you cur. and tell the other curs the law is coming. you tell 'em i'm coming! and hell's coming with me you hear! hell's coming with me, you hear",speech,00:00:07.44,train
07vn6gbo2y_12,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,I look when he opened the sixth seal and behold there was a great earthquake sun became black as sackcloth of hair the moon became like blood stars of heaven fell to the earth which could be translated asteroids or meteors,speech,00:00:13.01,test
07vn6gbo2y_13,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,And you're scratching your head saying why is megamind falling through the sky like that,speech,00:00:05.53,test
07vn6gbo2y_14,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness,When he tells the story i know some of you have seen meg great movie by the way and so and and then it goes back and it ,speech,00:00:07.00,train
07vn6gbo2y_17,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,They say we want to be under the rubble of the earth because that's where we belong we love the earth more than heaven,speech,00:00:07.14,train
07vn6gbo2y_18,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness,Abbreviations are so important for the modern pastor but those,speech,00:00:05.53,train
07vn6gbo2y_19,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness,And there might be a heathen or two here in our midst but the idea is that politics.,speech,00:00:06.00,valid
07vn6gbo2y_2,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,That it... first of all points us to you and to your grand design for the world and for us in the world,speech,00:00:07.74,train
07vn6gbo2y_20,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,I will run to buddhism or hinduism or mormonism i'll become a jehovah's witness i'll do this you know,speech,00:00:08.34,train
07vn6gbo2y_22,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,surprise,Russo daniel russo,speech,00:00:03.00,train
07vn6gbo2y_23,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness, thank you yes,speech,00:00:00.90,valid
07vn6gbo2y_3,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,Seabiscuit the black stallion in hidalgo starred in the equine feature films but,speech,00:00:07.00,valid
07vn6gbo2y_4,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,By night and behold a man riding on a red horse and it stood among the myrtle trees in the hollow behind him,speech,00:00:07.00,test
07vn6gbo2y_5,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,The most majestic is the warhorse jesus will ride in his second coming revelation 19:11 now i saw heaven opened and behold a white horse and he who sat on him was called faithful and true and in righteousness he judges and makes war,speech,00:00:16.08,valid
07vn6gbo2y_6,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,Will be crowned with many crowns not one and the lord will defeat his enemies by the power of his word which is depicted by a sword not by a bow,speech,00:00:10.04,valid
07vn6gbo2y_7,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness,But it's also known as the little apocalypse i like that the little apocalypse .,speech,00:00:04.90,valid
07vn6gbo2y_8,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,happiness,You should have a garage full of toilet paper for bartering in the end hey you got some rye crisp crackers i've got a roll of toilet paper for you right here so anyway,speech,00:00:13.01,train
07vn6gbo2y_9,"Revelation 6:1-17 - On With The Scroll, This Is It",EN,male,adult,white,no,no,neutral,If you're a believer if you die you're absent from your body and present with the lord in heaven you don't go to hades anymore waiting the wait is over,speech,00:00:07.37,train
09du0zkg34_10,Break the Silence #3 | Erin Kelley-Green,EN,male,adult,black,no,no,neutral,Relationship that didn't pan out how you wanted it to but for somehow you're still finding the strength to put everybody else in front of your needs as you are in a walker,interview,00:00:11.01,test
09du0zkg34_11,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,happiness,I've met you know in person,interview,00:00:03.00,train
09du0zkg34_12,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,sadness,And then there was so much shame,interview,00:00:01.86,train
