utterance_id,text,split
p1lutabubu_15,Listen oh wow,train
29z1et8j3d_8,Not even close,train
cl4nlhot3s_1,A day you can get magnesium,train
d03a58wmnc_5,In the time in history where we've we've been the other way it's it's where the right hemisphere is being dominant,train
zoubsrxa25_2,I watched,train
wxxccrv7zr_251,"We were getting the balance wrong, that the focus was too much towards women",train
wxxccrv7zr_66,When it comes to the 7th of may we should get rid of the labour party in scotland and we should put backbone into the labor party in england,train
la9b26lzb5_77,Rescued desperate houton--  houstonians in harvey are not being paid they are military that's not being paid  because they are under homeland security,train
rxn378l6s7_6,And in some cases we need to design our own robots,train
3me8b1kjfb_3,You know and as she described it innovation is really more the result of a progression by human beings.,train
629acg5ohg_2,They get this fear because their reputations depend on being able to talk about what they know with absolute precision.,train
za8zaa8kch_10,For me is i've seen that on the field it's it's been a big relief cuz you know what,train
foheeeoajx_6,It's also the case that for some of the rights that exist it's not the copy but the right that makes the difference so for example when a musician writes music and the music is embedded in a hollywood film it's not the copy that protects them,train
k9eggm10es_36,Endorsed by organizations that represent all 50 state governors,train
9cdj4kx65i_9,Went to to visit my aunt carol merrill,train
gziaq0pfhp_11,I'm really sorry,train
zx2py6gj8r_0,Child survival depends upon income,train
ze2og4grn3_13,I want to be able to see the ministry help them come from that place where they struggle,train
s7wvdlp1s4_30,Hello,train
7s45hlgpvc_29,"I do not believe they're spending 5.7 billion dollars for a wall, when people in my district, babies in my district, go to bed hungry.",train
2iffqv55pw_2,Who runs rings around their male counterparts in the opposition and their own party and ends up as prime minister,train
29e30gojnf_7,Please check out my website londonformayor.com,train
k24r09le79_0,"Hello and welcome to complete in him, i'm your host evangelist edward biamonte",train
x6spfg39xn_20,This is the system and so we were able to have no cost,train
r0inimoekj_4,And you just go and fuck your ex is that the way you solve your problems,train
4kr16zyvqh_1,Punchy but yeah the entertainment industry kind of blew me over and,train
i834xnpka0_3,"I said it was $12,000 for the medical bill",train
